codigo_ibge,lat,lon
1718881,-8.775627,-47.748038
1718899,-10.862926,-48.908148
1718907,-11.445042,-48.117659
1719004,-10.281600,-47.810000
1720002,-6.435533,-47.672055
1720101,-6.026378,-47.924137
1720150,-10.160872,-46.665969
1720200,-5.553012,-47.577308
1720259,-12.749600,-48.238500
1720309,-5.258300,-48.201000
1720499,-11.968258,-48.233335
1720655,-11.153700,-48.170600
1720804,-5.602750,-47.640290
1720853,-11.988392,-48.912114
1720903,-12.404300,-46.437700
1720937,-12.190849,-46.993198
1720978,-12.797968,-49.092255
1721000,-10.184500,-48.333700
1721109,-9.567888,-48.376471
1721208,-6.329110,-47.421646
1721257,-8.975500,-48.190900
1721307,-8.399300,-48.130100
1722081,-6.848645,-47.965018
1722107,-6.411301,-48.530330
2100055,-4.940275,-47.465283
2100105,-4.134111,-43.324006
2100154,-2.837913,-42.116347
2100204,-2.408939,-44.417556
2100303,-4.628800,-43.471000
2100402,-4.166986,-45.464764
2100436,-4.209636,-44.443956
2100477,-3.666067,-45.844703
2100501,-9.111831,-45.933342
2100550,-1.674950,-46.009944
2100600,-5.569000,-46.747100
2100709,-3.265644,-44.617767
2100808,-3.673389,-43.110097
2100832,-1.535117,-45.081722
2100873,-2.954025,-45.664203
2100907,-2.890989,-41.903782
2100956,-4.888161,-46.012042
2101004,-3.452747,-44.779139
2101103,-2.838060,-44.052002
2101202,-4.229364,-44.775769
2101251,-2.978803,-44.316125
2101301,-1.728211,-45.141961
2101350,-2.707483,-44.737425
2101400,-7.533225,-46.040109
2101509,-6.757618,-43.024152
2101608,-5.508208,-45.246386
2101707,-2.750211,-42.827116
2101731,-3.160466,-43.507752
2101772,-3.741825,-45.250386
2101806,-7.224884,-44.558062
2101905,-2.449276,-44.783044
2101939,-4.635094,-44.764242
2101970,-1.795287,-46.308707
2102002,-3.545783,-45.605511
2102036,-4.487758,-46.849564
2102077,-4.370620,-45.034834
2102101,-3.681575,-42.750653
2102150,-4.332333,-45.584939
2102200,-3.942742,-42.924682
2102309,-5.843047,-43.837397
2102325,-4.317797,-46.460100
2102358,-5.592014,-47.018189
2102374,-2.927685,-44.061297
2102408,-2.881564,-44.675292
2102507,-3.320975,-45.010419
2102556,-6.173831,-47.365739
2102606,-1.455558,-45.728244
2102705,-3.634233,-44.376819
2102754,-4.724036,-44.327181
2102804,-7.334767,-47.473361
2102903,-1.202503,-46.021317
2103000,-4.862200,-43.363900
2103109,-1.997381,-44.535228
2103125,-2.195489,-44.832347
2103158,-2.448508,-46.036872
2103174,-2.139719,-46.125547
2103208,-3.741483,-43.354803
2103257,-5.175700,-47.781600
2103307,-4.452797,-43.887575
2103406,-4.256975,-43.012142
2103505,-6.026189,-44.249475
2103554,-3.837900,-44.897797
2103604,-4.128203,-44.127586
2103703,-1.825644,-44.867219
2103752,-5.528283,-47.396417
2103802,-5.039803,-44.438608
2103901,-4.154097,-42.945644
2104008,-4.876489,-44.882650
2104057,-6.559600,-47.439300
2104073,-6.962567,-46.683100
2104081,-6.150758,-44.901125
2104099,-6.442136,-46.190686
2104107,-6.965136,-46.170422
2104206,-5.737267,-44.160589
2104305,-1.414769,-45.773319
2104404,-5.155400,-44.300400
2104503,-5.023106,-44.269803
2104552,-5.748100,-47.363522
2104602,-5.317786,-44.244167
2104628,-5.470153,-44.070439
2104651,-3.425947,-45.669992
2104677,-2.129917,-45.888128
2104701,-5.409228,-44.330461
2104800,-5.816900,-46.143300
2104909,-2.133672,-44.600903
2105005,-2.597206,-43.461744
2105104,-2.776347,-44.065567
2105153,-3.640769,-45.184664
2105203,-4.661981,-44.854181
2105302,-5.527089,-47.490233
2105351,-5.142333,-45.791236
2105401,-3.392972,-44.357972
2105427,-4.450778,-47.528039
2105450,-5.818597,-44.230308
2105476,-5.369308,-45.637544
2105500,-5.448906,-47.400958
2105609,-4.983272,-44.698622
2105658,-1.878686,-46.072706
2105708,-4.571333,-45.130983
2105807,-4.606728,-45.053050
2105906,-4.041761,-44.934797
2105922,-6.045769,-43.526647
2105948,-4.614511,-44.982225
2105963,-4.992886,-45.384839
2105989,-6.190900,-47.038700
2106003,-4.518043,-44.464664
2106102,-7.085756,-45.141781
2106201,-1.326733,-45.896942
2106300,-3.399517,-42.204722
2106326,-2.042375,-45.963847
2106359,-4.621869,-45.456042
2106375,-2.241000,-45.858886
2106409,-3.625786,-43.110000
2106508,-3.099300,-45.031800
2106607,-5.520078,-43.201375
2106631,-3.631383,-44.551625
2106672,-3.581347,-42.607161
2106706,-6.372042,-44.360886
2106755,-3.562200,-44.585600
2106805,-2.062467,-44.784458
2106904,-3.491347,-45.252067
2107001,-5.832200,-47.066700
2107100,-2.865800,-44.042000
2107209,-3.465771,-43.906579
2107258,-7.119980,-46.262622
2107308,-6.736100,-44.046100
2107357,-2.807000,-45.702700
2107407,-4.140794,-45.117062
2107456,-2.999000,-44.996700
2107506,-2.551238,-44.165274
2107605,-2.645417,-44.895525
2107704,-6.433223,-43.983964
2107803,-5.681964,-43.091042
2107902,-6.181020,-43.783377
2108009,-6.594200,-44.080300
2108058,-2.719672,-42.533583
2108108,-4.444959,-45.242305
2108207,-4.570342,-44.605073
2108256,-2.967800,-45.346400
2108306,-3.294000,-45.173400
2108405,-2.578032,-44.853823
2108454,-4.378100,-44.339400
2108504,-3.605714,-45.341958
2108603,-2.519255,-45.080961
2108702,-3.890641,-45.169941
2108801,-3.729239,-44.224281
2108900,-4.752797,-44.944800
